content,content_lower,content_no_punctuation,content_no_emoji,content_no_stopwords,processed,predicted
"Maaf Sebelum nya saya kasih 1 bintang , karena pas proses pendaftaran di langkah ke 3 proses estimasi saya gagal terus, tulisan nya ""TIDAK SESUAI KYC"" padahal saya sudah mencantumkan semuanya sesuai KTP saya sudah ulang dan coba berkali kali sampai saya uninstall dan download ulang pun jawaban nya tetap sama , saya hanya ingin trader tapi kenapa sulit bgt ya , mohon bantuannya kalau admin nya bisa membantu dan proses nya lancar pasti saya akan ubah bintang nya , TERIMAKASIH","maaf sebelum nya saya kasih 1 bintang , karena pas proses pendaftaran di langkah ke 3 proses estimasi saya gagal terus, tulisan nya ""tidak sesuai kyc"" padahal saya sudah mencantumkan semuanya sesuai ktp saya sudah ulang dan coba berkali kali sampai saya uninstall dan download ulang pun jawaban nya tetap sama , saya hanya ingin trader tapi kenapa sulit bgt ya , mohon bantuannya kalau admin nya bisa membantu dan proses nya lancar pasti saya akan ubah bintang nya , terimakasih",maaf sebelum nya saya kasih 1 bintang  karena pas proses pendaftaran di langkah ke 3 proses estimasi saya gagal terus tulisan nya tidak sesuai kyc padahal saya sudah mencantumkan semuanya sesuai ktp saya sudah ulang dan coba berkali kali sampai saya uninstall dan download ulang pun jawaban nya tetap sama  saya hanya ingin trader tapi kenapa sulit bgt ya  mohon bantuannya kalau admin nya bisa membantu dan proses nya lancar pasti saya akan ubah bintang nya  terimakasih,maaf sebelum nya saya kasih 1 bintang  karena pas proses pendaftaran di langkah ke 3 proses estimasi saya gagal terus tulisan nya tidak sesuai kyc padahal saya sudah mencantumkan semuanya sesuai ktp saya sudah ulang dan coba berkali kali sampai saya uninstall dan download ulang pun jawaban nya tetap sama  saya hanya ingin trader tapi kenapa sulit bgt ya  mohon bantuannya kalau admin nya bisa membantu dan proses nya lancar pasti saya akan ubah bintang nya  terimakasih,maaf nya kasih 1 bintang pas proses pendaftaran langkah 3 proses estimasi gagal tulisan nya sesuai kyc mencantumkan sesuai ktp ulang coba berkali kali uninstall download ulang nya trader sulit bgt ya mohon bantuannya admin nya membantu proses nya lancar ubah bintang nya terimakasih,maaf nya kasih 1 bintang pas proses daftar langkah 3 proses estimasi gagal tulis nya sesuai kyc cantum sesuai ktp ulang coba kali kali uninstall download ulang nya trader sulit bgt ya mohon bantu admin nya bantu proses nya lancar ubah bintang nya terimakasih,negative
Tidak bisa panarikan dana padahal itu uang uang kita sendiri. Pake google code juga percuma salah terus salah terus. Saya tunggu itikad baik anda tokocrypto,tidak bisa panarikan dana padahal itu uang uang kita sendiri. pake google code juga percuma salah terus salah terus. saya tunggu itikad baik anda tokocrypto,tidak bisa panarikan dana padahal itu uang uang kita sendiri pake google code juga percuma salah terus salah terus saya tunggu itikad baik anda tokocrypto,tidak bisa panarikan dana padahal itu uang uang kita sendiri pake google code juga percuma salah terus salah terus saya tunggu itikad baik anda tokocrypto,panarikan dana uang uang pake google code salah salah tunggu itikad tokocrypto,panarikan dana uang uang pake google code salah salah tunggu itikad tokocrypto,negative
"Payah, mau WD ribet banget kode verifikasi google authentitator salah mulu padahal udah cepet dan kode belum beruba tetep aja kode verifikasi salah payah, payah babi asw celeng tempek","payah, mau wd ribet banget kode verifikasi google authentitator salah mulu padahal udah cepet dan kode belum beruba tetep aja kode verifikasi salah payah, payah babi asw celeng tempek",payah mau wd ribet banget kode verifikasi google authentitator salah mulu padahal udah cepet dan kode belum beruba tetep aja kode verifikasi salah payah payah babi asw celeng tempek,payah mau wd ribet banget kode verifikasi google authentitator salah mulu padahal udah cepet dan kode belum beruba tetep aja kode verifikasi salah payah payah babi asw celeng tempek,payah wd ribet banget kode verifikasi google authentitator salah mulu udah cepet kode beruba tetep aja kode verifikasi salah payah payah babi asw celeng tempek,payah wd ribet banget kode verifikasi google authentitator salah mulu udah cepet kode uba tetep aja kode verifikasi salah payah payah babi asw celeng tempek,negative
"Udh bagus semua, tapi kurang cocok untuk Scalping. Coba tambahkan 2 fitur ini : Alarm Indicator dan Staking, saya rasa akan lebih bagus","udh bagus semua, tapi kurang cocok untuk scalping. coba tambahkan 2 fitur ini : alarm indicator dan staking, saya rasa akan lebih bagus",udh bagus semua tapi kurang cocok untuk scalping coba tambahkan 2 fitur ini  alarm indicator dan staking saya rasa akan lebih bagus,udh bagus semua tapi kurang cocok untuk scalping coba tambahkan 2 fitur ini  alarm indicator dan staking saya rasa akan lebih bagus,udh bagus cocok scalping coba tambahkan 2 fitur alarm indicator staking bagus,udh bagus cocok scalping coba tambah 2 fitur alarm indicator staking bagus,positive
"tolong, untuk outentifikasi identitas bagi orang desa dipermudah. dikampung tidak ada nama jalan dan kota. hanya ada nama desa kabupaten dan kecamatan. orang desa selalu gagal outentifikasi identitasnya😞. mohon diperbaiki.🙏","tolong, untuk outentifikasi identitas bagi orang desa dipermudah. dikampung tidak ada nama jalan dan kota. hanya ada nama desa kabupaten dan kecamatan. orang desa selalu gagal outentifikasi identitasnya😞. mohon diperbaiki.🙏",tolong untuk outentifikasi identitas bagi orang desa dipermudah dikampung tidak ada nama jalan dan kota hanya ada nama desa kabupaten dan kecamatan orang desa selalu gagal outentifikasi identitasnya😞 mohon diperbaiki🙏,tolong untuk outentifikasi identitas bagi orang desa dipermudah dikampung tidak ada nama jalan dan kota hanya ada nama desa kabupaten dan kecamatan orang desa selalu gagal outentifikasi identitasnya mohon diperbaiki,tolong outentifikasi identitas orang desa dipermudah dikampung nama jalan kota nama desa kabupaten kecamatan orang desa gagal outentifikasi identitasnya mohon diperbaiki,tolong outentifikasi identitas orang desa mudah kampung nama jalan kota nama desa kabupaten camat orang desa gagal outentifikasi identitas mohon baik,negative
Aplikasi yang memudahkan buat para pemula aplikasi yang mudah digunakan dan sangat flexible..good🤍,aplikasi yang memudahkan buat para pemula aplikasi yang mudah digunakan dan sangat flexible..good🤍,aplikasi yang memudahkan buat para pemula aplikasi yang mudah digunakan dan sangat flexiblegood🤍,aplikasi yang memudahkan buat para pemula aplikasi yang mudah digunakan dan sangat flexiblegood,aplikasi memudahkan pemula aplikasi mudah flexiblegood,aplikasi mudah mula aplikasi mudah flexiblegood,positive
Sangat susah menarik uang ke rekening. Sudah beberapa kali coba tetap tidak bisa. Sudah download aplikasi google authenticator tetap tidak bisa. Tolong jangan di buat susah. Ribet banget ni aplikasi.,sangat susah menarik uang ke rekening. sudah beberapa kali coba tetap tidak bisa. sudah download aplikasi google authenticator tetap tidak bisa. tolong jangan di buat susah. ribet banget ni aplikasi.,sangat susah menarik uang ke rekening sudah beberapa kali coba tetap tidak bisa sudah download aplikasi google authenticator tetap tidak bisa tolong jangan di buat susah ribet banget ni aplikasi,sangat susah menarik uang ke rekening sudah beberapa kali coba tetap tidak bisa sudah download aplikasi google authenticator tetap tidak bisa tolong jangan di buat susah ribet banget ni aplikasi,susah menarik uang rekening kali coba download aplikasi google authenticator tolong susah ribet banget ni aplikasi,susah tarik uang rekening kali coba download aplikasi google authenticator tolong susah ribet banget ni aplikasi,negative
terlalu ribet...,terlalu ribet...,terlalu ribet,terlalu ribet,ribet,ribet,negative
"Jangan pake ini, kemarin depo gampang banget, cuma pake shopepay bisa. Tapi pas mau narik, ribet. Musti instal google autentikator. Udah nyoba2 1 jam, sambil chat sama cs akhirnya bisa. Pas mau coba WD malah di suruh nunggu 3 hari, gara2 pas verivikasi no TLP ada masalah wkwkwkwk. Kapokkkkk Untung cuma depo 250rb, anggep aja duit ilang beli bakso trus tumpah. Mending pake yg jelas2 aja dan gak ribet Tokocrypto....ribet to the moooonnn","jangan pake ini, kemarin depo gampang banget, cuma pake shopepay bisa. tapi pas mau narik, ribet. musti instal google autentikator. udah nyoba2 1 jam, sambil chat sama cs akhirnya bisa. pas mau coba wd malah di suruh nunggu 3 hari, gara2 pas verivikasi no tlp ada masalah wkwkwkwk. kapokkkkk untung cuma depo 250rb, anggep aja duit ilang beli bakso trus tumpah. mending pake yg jelas2 aja dan gak ribet tokocrypto....ribet to the moooonnn",jangan pake ini kemarin depo gampang banget cuma pake shopepay bisa tapi pas mau narik ribet musti instal google autentikator udah nyoba2 1 jam sambil chat sama cs akhirnya bisa pas mau coba wd malah di suruh nunggu 3 hari gara2 pas verivikasi no tlp ada masalah wkwkwkwk kapokkkkk untung cuma depo 250rb anggep aja duit ilang beli bakso trus tumpah mending pake yg jelas2 aja dan gak ribet tokocryptoribet to the moooonnn,jangan pake ini kemarin depo gampang banget cuma pake shopepay bisa tapi pas mau narik ribet musti instal google autentikator udah nyoba2 1 jam sambil chat sama cs akhirnya bisa pas mau coba wd malah di suruh nunggu 3 hari gara2 pas verivikasi no tlp ada masalah wkwkwkwk kapokkkkk untung cuma depo 250rb anggep aja duit ilang beli bakso trus tumpah mending pake yg jelas2 aja dan gak ribet tokocryptoribet to the moooonnn,pake kemarin depo gampang banget pake shopepay pas narik ribet musti instal google autentikator udah nyoba2 1 jam chat cs pas coba wd suruh nunggu 3 gara2 pas verivikasi no tlp wkwkwkwk kapokkkkk untung depo 250rb anggep aja duit ilang beli bakso trus tumpah mending pake yg jelas2 aja gak ribet tokocryptoribet to the moooonnn,pake kemarin depo gampang banget pake shopepay pas narik ribet musti instal google autentikator udah nyoba2 1 jam chat cs pas coba wd suruh nunggu 3 gara2 pas verivikasi no tlp wkwkwkwk kapokkkkk untung depo 250rb anggep aja duit ilang beli bakso trus tumpah mending pake yg jelas2 aja gak ribet tokocryptoribet to the moooonnn,negative
"Katanya ada event daftar dapat 100rb sampai 10 mei,meski sudah lolos level 1 tapi tidak mendapatkan,,auto uninstal","katanya ada event daftar dapat 100rb sampai 10 mei,meski sudah lolos level 1 tapi tidak mendapatkan,,auto uninstal",katanya ada event daftar dapat 100rb sampai 10 meimeski sudah lolos level 1 tapi tidak mendapatkanauto uninstal,katanya ada event daftar dapat 100rb sampai 10 meimeski sudah lolos level 1 tapi tidak mendapatkanauto uninstal,event daftar 100rb 10 meimeski lolos level 1 mendapatkanauto uninstal,event daftar 100rb 10 meimeski lolos level 1 mendapatkanauto uninstal,negative
"Masih newbee, salam profit 😄 #TokocryptoBullMarathon","masih newbee, salam profit 😄 #tokocryptobullmarathon",masih newbee salam profit 😄 tokocryptobullmarathon,masih newbee salam profit  tokocryptobullmarathon,newbee salam profit tokocryptobullmarathon,newbee salam profit tokocryptobullmarathon,positive
"Apknya recomend bngt,mudah di pahami,cocok yg mau bljr buat investasi,transaksinya cukup mudah,cocok untuk pemula,bagus,hrus wajib dowload apk ini,cocok buat kalangan mna aja dri menengah ke atas,good,tidak bnyk iklan, jgn putus asa,sukses selalu buat apk ini","apknya recomend bngt,mudah di pahami,cocok yg mau bljr buat investasi,transaksinya cukup mudah,cocok untuk pemula,bagus,hrus wajib dowload apk ini,cocok buat kalangan mna aja dri menengah ke atas,good,tidak bnyk iklan, jgn putus asa,sukses selalu buat apk ini",apknya recomend bngtmudah di pahamicocok yg mau bljr buat investasitransaksinya cukup mudahcocok untuk pemulabagushrus wajib dowload apk inicocok buat kalangan mna aja dri menengah ke atasgoodtidak bnyk iklan jgn putus asasukses selalu buat apk ini,apknya recomend bngtmudah di pahamicocok yg mau bljr buat investasitransaksinya cukup mudahcocok untuk pemulabagushrus wajib dowload apk inicocok buat kalangan mna aja dri menengah ke atasgoodtidak bnyk iklan jgn putus asasukses selalu buat apk ini,apknya recomend bngtmudah pahamicocok yg bljr investasitransaksinya mudahcocok pemulabagushrus wajib dowload apk inicocok kalangan mna aja dri menengah atasgoodtidak bnyk iklan jgn putus asasukses apk,apknya recomend bngtmudah pahamicocok yg bljr investasitransaksinya mudahcocok pemulabagushrus wajib dowload apk inicocok kalang mna aja dri tengah atasgoodtidak bnyk iklan jgn putus asasukses apk,positive
"Minusnya saat hendak Withdraw pelayanannya tidak 24 jam, tidak seperti hendak deposit setorannya dilayani 24 jam😷👎","minusnya saat hendak withdraw pelayanannya tidak 24 jam, tidak seperti hendak deposit setorannya dilayani 24 jam😷👎",minusnya saat hendak withdraw pelayanannya tidak 24 jam tidak seperti hendak deposit setorannya dilayani 24 jam😷👎,minusnya saat hendak withdraw pelayanannya tidak 24 jam tidak seperti hendak deposit setorannya dilayani 24 jam,minusnya withdraw pelayanannya 24 jam deposit setorannya dilayani 24 jam,minus withdraw layan 24 jam deposit setor layan 24 jam,negative
Yang mau investasi gampang banget pake tokocrypto gaperlu khawatir lagi buat trading aset digital,yang mau investasi gampang banget pake tokocrypto gaperlu khawatir lagi buat trading aset digital,yang mau investasi gampang banget pake tokocrypto gaperlu khawatir lagi buat trading aset digital,yang mau investasi gampang banget pake tokocrypto gaperlu khawatir lagi buat trading aset digital,investasi gampang banget pake tokocrypto gaperlu khawatir trading aset digital,investasi gampang banget pake tokocrypto gaperlu khawatir trading aset digital,positive
Verifikasi akun lamaaaa bnerr,verifikasi akun lamaaaa bnerr,verifikasi akun lamaaaa bnerr,verifikasi akun lamaaaa bnerr,verifikasi akun lamaaaa bnerr,verifikasi akun lamaaaa bnerr,negative
Kyc itu apa? Mau daftar aja susah beut...jelaskan secara rinci,kyc itu apa? mau daftar aja susah beut...jelaskan secara rinci,kyc itu apa mau daftar aja susah beutjelaskan secara rinci,kyc itu apa mau daftar aja susah beutjelaskan secara rinci,kyc daftar aja susah beutjelaskan rinci,kyc daftar aja susah beutjelaskan rinci,negative
"Saya mendapat email dengan tulisan ""selamat bergabung"" , tapi ketika hendak masuk aplikasi malah keterangan belum teridentifikasi tahap 1. Nunggu udah 5 hari. Cape deh","saya mendapat email dengan tulisan ""selamat bergabung"" , tapi ketika hendak masuk aplikasi malah keterangan belum teridentifikasi tahap 1. nunggu udah 5 hari. cape deh",saya mendapat email dengan tulisan selamat bergabung  tapi ketika hendak masuk aplikasi malah keterangan belum teridentifikasi tahap 1 nunggu udah 5 hari cape deh,saya mendapat email dengan tulisan selamat bergabung  tapi ketika hendak masuk aplikasi malah keterangan belum teridentifikasi tahap 1 nunggu udah 5 hari cape deh,email tulisan selamat bergabung masuk aplikasi keterangan teridentifikasi tahap 1 nunggu udah 5 cape deh,email tulis selamat gabung masuk aplikasi terang identifikasi tahap 1 nunggu udah 5 cape deh,negative
